Model Name,USGIN_Keyword,FeatureType or Layer,ExcelDataTab,NamespaceURI,FeatureURI,keywords
Aqueous Chemistry,usgincm:Aqueous Chemistry.WaterIsotopes,WaterIsotopes,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9/waterisotopes,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|isotope
Aqueous Chemistry,usgincm:Aqueous Chemistry.WaterIsotopes1.10,WaterIsotopes,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10/waterisotopes,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|isotope
Aqueous Chemistry,usgincm:Aqueous Chemistry.WaterQuality,WaterQuality,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9/waterquality,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|drinking water
Aqueous Chemistry,usgincm:Aqueous Chemistry.WaterQuality1.10,WaterQuality,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10/waterquality,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|drinking water
Borehole Lithology Intercepts,usgincm:Borehole Lithology Intercepts,BoreholeLithIntercept,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/bhlithintercept/1.1,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/bhlithintercept/1.1,borehole|lithologic intercepts|formation|top|bottom|well|lithology|contact
Borehole Lithology Interval Feature,usgincm:Borehole Lithology Interval Feature,BoreholeLithInterval,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/bhlithinterval/0.9,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/bhlithinterval/0.9,borehole|lithologic interval|formation|top|bottom|well|lithology|geologic unit
Borehole Temperature Observation,usgincm:Borehole Temperature Observation,BoreholeTemperature,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/boreholetemperature/1.5,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/boreholetemperature/1.5,bottomhole|bottom hole|temperature|borehole|geothermal
Contour Lines,usgincm:Contour Lines,ContourLine,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/contourlines/1.0,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/contourlines/1.0,structure contour|maps|isoline|isopleth
Direct Use Feature,usgincm:Direct Use Feature,DirectUseSite,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/directusesite/1.5,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/directusesite/1.5,greenhouse|space heating|thermal bath|aquaculture
Drill Stem Test Observations (deprecated),usgincm:DrillStemTest,DrillStemTest,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/drillstemtest/1.8,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/drillstemtest/1.8,fluid flow|flow test
Geologic Fault Feature / Shear Displacement Structure,usgincm:Fault Feature,Fault,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geosciml-portrayal-faults/1.0,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geoscimlportrayal/1.0/sheardisplacementstructureview,tectonics|geology
Geologic Fault Feature / Shear Displacement Structure,usgincm:Fault Feature1.1,Fault,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geosciml-portrayal-faults/1.1,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geoscimlportrayal/1.1/sheardisplacementstructureview,tectonics|geology
Geologic Fault Feature / Shear Displacement Structure,"usgincm:Fault Feature2.0 , usgincm:Shear Displacement Structure",ShearDisplacementStructureView,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geosciml-portrayal-faults/2.0,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geoscimlportrayal/2.0/sheardisplacementstructureview,tectonics|geology
Fluid Flux Injection and Disposal,usgincm:Fluid Flux Injection and Disposal,FluidFluxInjection,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/fluidfluxinjection/1.1,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/fluidfluxinjection/1.1,fluid flux|well|borehole|flow
Geologic Contact Feature,usgincm:Geologic Contact Feature,ContactView,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geosciml-portrayal-contacts/2.0,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geoscimlportrayal/2.0/contactview,geology
Geologic Reservoir,usgincm:Geologic Reservoir,GeologicReservoir,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geologicreservoir/0.2,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geologicreservoir/0.2,geothermal reservoir|resource|target
Geologic Units,usgincm:Geologic Units,GeologicUnitView,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geosciml-portrayal-units/2.0,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geoscimlportrayal/2.0/geologicunitview,geology|lithology|age
Geothermal Area,usgincm:Geothermal Area,GeothermalArea,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermalarea/0.5,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermalarea/0.5,system|reservoir|monitoring|power generation|exploration|resource
Geothermal Area,usgincm:Geothermal Area0.7,GeothermalArea,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermalarea/0.7,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermalarea/0.7,system|reservoir|monitoring|power generation|exploration|resource
Geothermal Fluid Production (deprecated),usgincm:Geothermal Fluid Production,GeothermalFluidProduction,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermalfluidproduction/1.1,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermalfluidproduction/1.1,fluid flow|gauge|economics
Geothermal Power Plant Facility,usgincm:Geothermal Power Plant Facility,PowerPlantFacility,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/PowerPlantFacility/0.2,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/PowerPlantFacility/0.2,power generation|geothermal|resource|use|system|generator|turbine
Gravity Stations,usgincm:Gravity Stations,GravityStation,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/gravitystations/0.1,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/gravitystations/0.1,bouguer|station|free air correction
Heat Flow,usgincm:Heat Flow,HeatFlow,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/heatflow/1.15,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/heatflow/1.15,gradient|thermal conductivity|physical property|temperature
Heat Flow,usgincm:Heat Flow1.23,HeatFlow,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/heatflow/1.23,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/heatflow/1.23,gradient|thermal conductivity|physical property|temperature
Heat Flow,usgincm:Heat Flow1.3,HeatFlow,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/heatflow/1.3,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/heatflow/1.3,gradient|thermal conductivity|physical property|temperature
